zone,practice_id,practice_name,speciality,monetisable_txns,practice_reference_id
hsr layout,1438015,Swasthi Chikitsalaya,General Physician; Neurologist,25,1b4ecb3f-88fe-47f3-9f15-db14a566b873
hsr layout,1474236,Kidney & Hypertension Clinic,Nephrologist,25,e6b6d470-ef63-4410-a91c-f062e9dc960a
hsr layout,1236814,Dental 32,General Dentistry,24,96c9b945-840e-4e33-9ef9-74ba832ff50e
hsr layout,1473956,Akera Skin & Hair Clinic,General Dermatology,24,1726e77e-80ff-4a4e-957c-17f2bad3c2b3
hsr layout,794928,Fundus Clinic,General Gynecology; General Ophthalmology,24,29d43370-53cf-451e-8a21-97a7d299396d
hsr layout,1279020,Aditya Clinic,General Physician,24,4393c20b-9e99-4ee7-9dd7-80ff99d0dc7a
hsr layout,1138695,Homeopathy Center,Homeopathy,24,7c9adb8f-8d8a-43b5-ab08-96bdad46b458
hsr layout,836575,More Than Diet,Dietitian,23,46a5e004-e105-4923-8faa-59c7550d038b
hsr layout,1220534,Sugar.fit,Dietitian; General Physician,23,f0b0900a-6230-444c-99f1-6beccbf79489
hsr layout,1272173,Smile Care Orthodontic Center and Multispeciality Dental Clinic,General Dentistry,23,61ea0578-faa7-4f12-a733-bbcb1bbee5ef
hsr layout,1450927,DYU Child Care,General Pediatrics,23,aa5f8138-ec33-4b62-8e66-1043262f2687
hsr layout,1585772,Apollo Clinic,Cardiologist; Dietitian; ENT; General Dentistry; General Dermatology; General Gynecology; General Pediatrics; General Physician; General Psychiatry; General Surgeon; Nephrologist; Physiotherapist; Radiology,22,00a73c5e-6e8a-41d3-9d35-cee83390e7be
hsr layout,2166081,Angel Care Women And Childrens Hospital,Cosmetic/Plastic Surgeon; General Dermatology; General Gynecology; General Pediatrics,22,e5c9974a-feaa-4194-959e-22fee28b6492
hsr layout,1462591,Gastrologica Clinic,Gastroenterologist,22,1c837b92-e35c-409e-885c-36248080b0e5
hsr layout,738593,Dr. Parthasarathi's Asian Hair and Skin Hospitals,General Dermatology,22,dffae3c1-34e9-4a05-b566-1c842f48a0c2
hsr layout,746438,Lotus Multispeciality Center,General Gynecology; General Psychiatry; General Surgeon; Orthopaedics,22,3164aab3-4fed-40cc-9036-39787ec6ede2
hsr layout,1422814,Ikshana Multispeciality and Diagnostic Centre,General Gynecology; General Pediatrics; General Physician,22,6c605ae4-e00a-457f-b624-fe769e951048
hsr layout,1601391,Dinka Multispeciality Hospital,General Physician,22,eeae0643-faae-467d-86f8-7417da56df96
hsr layout,614247,Dr Balasubramanyam Clinic,ENT,21,48815a88-0be8-4c63-8e4e-42552882876a
hsr layout,1595414,"Sai Thunga Hospital, Bangalore",ENT; General Gynecology; General Pediatrics; General Physician; General Surgeon; Neurologist; Orthopaedics; Urologist,21,c9a5eb46-1376-4cd2-8920-12c74ddd711a
hsr layout,1142796,Kottakkal Arya Vaidya Sala,General Alt Medicine,21,59c6078e-48c0-4341-983c-e79ccf6420f7
hsr layout,648533,Jeevan Dental Clinic,General Dentistry,21,dd22f8c6-37ee-4104-a524-e5eb8929d78e
hsr layout,1159464,Apollo Dental,General Dentistry,21,9af63824-b42f-422b-840c-c572a722dc38
hsr layout,1462590,Tolasi Dermatology Clinic,General Dermatology,21,4ce3fd03-c702-41af-9b9f-198c2d199113
hsr layout,1219662,Dr Jyoti's Women Clinic,General Gynecology,21,1ccf7dda-a440-43be-8cd9-449255fc083b
hsr layout,663669,Sai Neuropsychiatry Clinic,General Psychiatry,21,cd2aed53-9df1-4246-939f-b4d422ec177a
hsr layout,1113442,RCD - Superspeciality Clinic,Nephrologist,21,476747b5-036e-4be3-85f9-eae4e760e9ad
hsr layout,1452719,Rapha Sports & Regenerative Orthopedics,Orthopaedics,21,3380bd8d-2e1a-4cd1-b9e1-06bddb7643fd
hsr layout,648454,Dental Health Care Centre,General Dentistry,20,7b34ad14-4627-4ab0-902c-74deb95a57b3
hsr layout,652801,Pioneer Advanced Hair Transplant Center,General Dentistry,20,2a7a648d-8bf0-488e-bf93-c10f7e43bc39
hsr layout,819978,MAK Speciality Health Center,General Gynecology; Orthopaedics; Physiotherapist,20,9642ecd2-6687-4f1d-9b65-ee09f5a7bebe
hsr layout,1422478,Srushti Gastro & Liver Clinic,General Physician,20,a657b661-0460-47f8-a99b-b84ddfe9e5e4
hsr layout,1267837,Asvasana,General Psychiatry,20,8e7dc6b5-457e-46cc-a680-1dee95df8739
hsr layout,745897,Vita Family Clinic,Cardiologist; General Dentistry; General Dermatology; General Gynecology; General Physician; General Surgeon; Orthopaedics; Urologist,19,85cf3025-e927-4846-8371-73599f24f8f4
