practice_id,practice_name,zone,speciality,monetisable_txns
808840,Growing Up Children's Clinic,hsr layout,General Pediatrics,57
1400214,Viveks Multi Speciality Clinic & Diagnostics,jp nagar,General Physician,57
1412963,IBBANI NETHRALAYA,kalyan nagar,General Ophthalmology,57
1264309,A - Star Specialist Clinic,malleswaram,ENT,57
615157,Prashanthi Ayurvedic Centre,malleswaram,General Alt Medicine,57
1409516,Smaya's Dento Care,whitefield,General Dentistry,57
1235728,Vignesh Dental Speciality Centre,indiranagar,General Dentistry,56
728755,Apollo Hospital,jp nagar,Gastroenterologist,56
1645901,Aesthetic Heart  Dermatology & Cardiology Clinic,jp nagar,General Dermatology,56
2082341,Skinmatics,whitefield,General Dermatology,56
2076477,Mom And More Clinic,whitefield,General Gynecology,56
682673,SRV Agadi Hospital,basavanagudi,Neurologist,55
1454378,Dr. Sood Aesthetics,indiranagar,General Dermatology,55
1597778,Docube Healthcare,jp nagar,ENT,55
684428,Anugraha Child Care Clinic,jp nagar,General Pediatrics,55
1158090,Oliva Skin & Hair Clinic,kalyan nagar,General Dermatology,55
710369,Geetha ENT Clinic,malleswaram,ENT,55
1588133,Chord Road Hospital Private Limited,malleswaram,General Pediatrics,55
1414925,"SkinXperts Super specialty Skin, Hair and Laser Clinics",rajarajeshwarinagar,General Dermatology,55
1313471,Carna Health Centre,vijayanagar,ENT,55
692513,Dr. Divya's Skin & Hair Solutions,whitefield,General Dermatology,55
1312752,Kauvery Hospitals,electronics city,General Gynecology,54
687635,Ovum Woman and Child Speciality Hospital,hsr layout,General Pediatrics,54
1430660,Allo Sexual Health Clinic,hsr layout,Sexologist,54
1363509,Cradle Of Youth - Your Personal Dermatologist,indiranagar,General Dermatology,54
1131355,Androplus Advanced Andrology & Reproductive Medicine,indiranagar,Sexologist,54
1422628,DHEE Hospitals,jp nagar,General Pediatrics,54
1319951,Aster RV Hospital,jp nagar,Urologist,54
1055989,Apollo Hospitals,malleswaram,Cardiologist,54
1326485,"Skinxperts Super Specialty Skin, Hair And Laser Clinics",malleswaram,General Dermatology,54
659126,Marvel Multispeciality Hospital,hsr layout,General Gynecology,53
650183,Dental solutions,indiranagar,General Dentistry,53
1444709,American Dental Practices,indiranagar,General Dentistry,53
1172214,Beautiful Mind Healthcare,indiranagar,General Psychiatry,53
1444483,Medax Hospitals Gottigere LLP,jp nagar,General Gynecology,53
776696,Trilife Hospital,kalyan nagar,Urologist,53
637953,K K Hospital,yelahanka,General Dermatology,53
1122309,Apollo Clinic,electronics city,Orthopaedics,52
2089448,Sakra IKOC Multispeciality Hospital,hsr layout,General Surgeon,52
721638,Aashraya Ent Healthcare,indiranagar,ENT,52
1425412,Altor Hospital,kr puram,ENT,52
1268239,Tirumala Orthopedic and Pediatric Hospital,kr puram,Orthopaedics,52
696620,Srinivasa Neurologics,malleswaram,Neurologist,52
1180089,Ovum Woman & Child Speciality Hospital,vijayanagar,General Pediatrics,52
1220498,Royal Smiles Multi Speciality Dental and Facial Aesthetics Centre,whitefield,General Dentistry,52
1142571,Cytecare Hospitals,yelahanka,ENT,52
1106241,Cloudnine Hospital,hsr layout,General Pediatrics,51
1322328,Sai Thunga Hospitals,hsr layout,General Physician,51
1659064,Manipal Clinic Indiranagar,indiranagar,ENT,51
850172,Six Face Clinic,indiranagar,General Physician,51
669239,Lalitha Dental Speciality Centre,jp nagar,General Dentistry,51
1233584,Prime Orthopedics,jp nagar,Orthopaedics,51
